"Location","PASFR","Births"
"India",3.442,1192.888
"India",3.442,2412.463
"India",3.442,2608.027
"India",3.442,2702.952
"India",3.442,3935.115
"India",3.442,4069.859
"India",3.442,4170.205
"India",3.442,4399.917
"India",3.442,4746.23
"India",3.442,NA
"India",3.532,3091.347
"Denmark",3.737,NA
"Denmark",3.737,NA
"Denmark",3.737,NA
"Denmark",3.737,NA
"Denmark",3.737,NA
"Denmark",3.737,NA
"Denmark",3.737,NA
"Denmark",3.737,NA
"Denmark",3.737,NA
"Denmark",3.737,NA
"Denmark",3.737,NA
"Denmark",3.737,NA
"Denmark",3.737,NA
"Denmark",3.737,NA
"Denmark",3.737,NA
"Denmark",3.737,NA
"Denmark",3.737,NA
"Denmark",3.737,NA
"Denmark",3.737,NA
"Denmark",3.737,NA
"Denmark",3.737,NA
"Denmark",3.737,NA
"Denmark",3.737,NA
"Denmark",3.737,NA
"Denmark",3.737,NA
"Denmark",3.737,NA
"Denmark",3.737,NA
"Denmark",3.737,NA
"Denmark",3.737,NA
"Denmark",3.737,NA
"Denmark",3.737,NA
"Denmark",3.737,NA
"Denmark",3.737,NA
"Denmark",3.737,NA
"Denmark",3.737,NA
"Denmark",3.737,NA
"Denmark",3.737,NA
"Denmark",3.737,NA
"Denmark",3.737,NA
"Denmark",3.737,NA
"Denmark",3.737,NA
"Denmark",3.737,NA
"Denmark",3.737,NA
"Denmark",3.737,NA
"Denmark",3.737,NA
"Denmark",3.737,NA
"Denmark",3.737,NA
"Denmark",3.738,6.694
"Denmark",3.738,6.916
"Denmark",3.738,7.077
"Denmark",3.738,7.226
"Denmark",3.738,7.351
"Denmark",3.738,7.664
"Denmark",3.738,8.099
"Denmark",3.738,8.638
"Denmark",3.738,8.73
"Denmark",3.738,8.755
"Denmark",3.738,8.885
"Denmark",3.738,8.906
"Denmark",3.738,8.928
"Denmark",3.738,8.992
"Denmark",3.738,9.216
"Denmark",3.738,9.247
"Denmark",3.738,9.333
"Denmark",3.738,9.461
"Denmark",3.738,9.671
"Denmark",3.738,9.687
"Denmark",3.738,9.785
"Denmark",3.738,9.848
"Denmark",3.738,10.195
"Denmark",3.738,10.234
"Denmark",3.738,10.291
"Denmark",3.738,10.4
"Denmark",3.738,10.996
"Denmark",3.738,11
"Denmark",3.738,11.157
"Denmark",3.738,11.162
"Denmark",3.738,11.184
"Denmark",3.738,11.203
"Denmark",3.738,11.204
"Denmark",3.738,11.258
"Denmark",3.738,11.261
"Denmark",3.738,11.262
"Denmark",3.738,11.264
"Denmark",3.738,11.32
"Denmark",3.738,11.6
"Denmark",3.738,11.841
"Denmark",3.738,11.873
"Denmark",3.738,11.912
"Denmark",3.738,12.095
"Denmark",3.738,12.096
"Denmark",3.738,12.135
"Denmark",3.738,12.209
"Denmark",3.738,12.243
"Denmark",3.738,12.252
"Denmark",3.738,12.3
"Denmark",3.738,12.35
"Denmark",3.738,12.369
"Denmark",3.738,12.418
"Denmark",3.738,12.431
"Denmark",3.738,12.442
"Denmark",3.738,12.445
"Denmark",3.738,12.466
"Denmark",3.738,12.477
"Denmark",3.738,12.53
"Denmark",3.738,12.546
"Denmark",3.738,12.564
"Denmark",3.738,12.59
"Denmark",3.738,12.647
"Denmark",3.738,12.658
"Denmark",3.738,12.664
"Denmark",3.738,12.684
"Denmark",3.738,12.701
"Denmark",3.738,12.708
"Denmark",3.738,12.712
"Denmark",3.738,12.714
"Denmark",3.738,12.723
"Denmark",3.738,12.735
"Denmark",3.738,12.763
"Denmark",3.738,12.79
"Denmark",3.738,12.8
"Denmark",3.738,12.803
"Denmark",3.738,12.803
"Denmark",3.738,12.843
"Denmark",3.738,12.851
"Denmark",3.738,12.854
"Denmark",3.738,12.861
"Denmark",3.738,12.863
"Denmark",3.738,12.883
"Denmark",3.738,12.888
"Denmark",3.738,12.898
"Denmark",3.738,12.901
"Denmark",3.738,12.906
"Denmark",3.738,12.91
"Denmark",3.738,12.929
"Denmark",3.738,12.941
"Denmark",3.738,12.973
"Denmark",3.738,12.988
"Denmark",3.738,13.038
"Denmark",3.738,13.073
"Denmark",3.738,13.096
"Denmark",3.738,13.099
"Denmark",3.738,13.116
"Denmark",3.738,13.12
"Denmark",3.738,13.123
"Denmark",3.738,13.133
"Denmark",3.738,13.155
"Denmark",3.738,13.174
"Denmark",3.738,13.196
"Denmark",3.738,13.198
"Denmark",3.738,13.296
"Denmark",3.738,13.296
"Denmark",3.738,13.369
"Denmark",3.738,13.382
"Denmark",3.738,13.387
"Denmark",3.738,13.405
"Denmark",3.738,13.553
"Denmark",3.738,13.57
"Denmark",3.738,13.589
"Denmark",3.738,13.798
"Denmark",3.738,13.907
"Denmark",3.738,13.94
"Denmark",3.738,14.282
"Denmark",3.738,14.332
"Denmark",3.738,14.573
"Denmark",3.738,14.888
"Denmark",3.738,14.907
"Denmark",3.738,15.121
"Denmark",3.738,15.516
"Denmark",3.738,15.579
"Denmark",3.738,15.71
"Denmark",3.738,15.94
"Denmark",3.738,16.461
"Denmark",3.738,16.548
"Denmark",3.738,16.785
"Denmark",3.738,16.8
"Denmark",3.738,16.896
"Denmark",3.738,17.071
"Denmark",3.738,17.168
"Denmark",3.738,17.194
"Denmark",3.738,17.309
"Denmark",3.738,17.392
"Denmark",3.738,17.593
"Denmark",3.738,18.532
"Denmark",3.738,19.392
"Denmark",3.738,20.438
"Denmark",3.738,20.587
"Denmark",3.738,20.607
"Denmark",3.738,20.726
"Denmark",3.738,21.591
"Denmark",3.738,23.13
"Denmark",3.738,NA
"Denmark",3.738,NA
"Denmark",3.738,NA
"Denmark",3.738,NA
"Denmark",3.738,NA
"Denmark",3.738,NA
"Denmark",3.738,NA
"Denmark",3.738,NA
"Denmark",3.738,NA
"Denmark",3.738,NA
"Denmark",3.738,NA
"Denmark",3.738,NA
"Denmark",3.738,NA
"Denmark",3.738,NA
"Denmark",3.738,NA
"Denmark",3.738,NA
"Denmark",3.738,NA
"Denmark",3.738,NA
"Denmark",3.738,NA
"Denmark",3.738,NA
"Denmark",3.738,NA
"Denmark",3.738,NA
"Denmark",3.738,NA
"Denmark",3.738,NA
"Denmark",3.738,NA
"Denmark",3.738,NA
"Denmark",3.738,NA
"Denmark",3.738,NA
"Denmark",3.738,NA
"Denmark",3.738,NA
"Denmark",3.738,NA
"Denmark",3.738,NA
"Denmark",3.738,NA
"India",3.915,1209.417
"India",3.915,2640.111
"India",3.915,2883.864
"India",3.915,2998.284
"India",3.915,4526.58
"India",3.915,4682.37
"India",3.915,4810.294
"India",3.915,5114.281
"India",3.915,5595.67
"India",3.915,NA
"India",3.971,3217.852
"Denmark",4.228,11.574
"India",4.502,3637.357
"Denmark",4.992,13.891
"India",5.085,4007.327
"India",5.54,4542.254
"India",5.54,6054.014
"India",5.54,6075.154
"India",5.54,6105.027
"India",5.54,6659.261
"India",5.54,6843.031
"India",5.54,6844.268
"India",5.54,6868.167
"India",5.54,7608.054
"India",5.54,NA
"India",5.584,4951.417
"India",5.584,6138.859
"India",5.584,6149.184
"India",5.584,6163.383
"India",5.584,6563.992
"India",5.584,6696.086
"India",5.584,6696.986
"India",5.584,6708.25
"India",5.584,7346.952
"India",5.584,NA
"India",5.585,4499.44
"India",5.585,6053.659
"India",5.585,6088.499
"India",5.585,6137.307
"India",5.585,6850.166
"India",5.585,7078.868
"India",5.585,7080.938
"India",5.585,7119.609
"India",5.585,7677.558
"India",5.585,NA
"Denmark",5.588,15.262
"Denmark",5.624,15.917
"India",5.632,5673.72
"India",5.708,5515.198
"India",5.708,6242.106
"India",5.708,6245
"India",5.708,6249.084
"India",5.708,6467.469
"India",5.708,6536.55
"India",5.708,6538.778
"India",5.708,6539.58
"India",5.708,6974.802
"India",5.708,NA
"India",5.726,4501.215
"India",5.726,6102.809
"India",5.726,6153.285
"India",5.726,6218.007
"India",5.726,7079.149
"India",5.726,7340.998
"India",5.726,7346.954
"India",5.726,7401.716
"India",5.726,7805.356
"India",5.726,NA
"India",5.729,NA
"India",5.733,NA
"India",5.764,NA
"India",5.785,NA
"India",5.815,NA
"India",5.826,NA
"India",5.828,NA
"India",5.854,8044.516
"India",5.868,4441.117
"India",5.884,NA
"India",5.899,6186.762
"India",5.945,NA
"India",5.945,NA
"India",5.972,4411.705
"India",5.972,6016.948
"India",5.972,6082.179
"India",5.972,6159.288
"India",5.972,7136.155
"India",5.972,7404.133
"India",5.972,7427.674
"India",5.972,7484.403
"India",5.972,7752.652
"India",5.972,NA
"India",6.123,NA
"India",6.167,NA
"India",6.18,6548.535
"Denmark",6.259,19.613
"India",6.336,4380.806
"India",6.336,5997.373
"India",6.336,6081.276
"India",6.336,6171.995
"India",6.336,7246.324
"India",6.336,7513.722
"India",6.336,7556.488
"India",6.336,7618.839
"India",6.336,7781.747
"India",6.336,NA
"India",6.365,NA
"India",6.388,NA
"India",6.397,NA
"India",6.464,NA
"India",6.685,NA
"India",6.686,NA
"Denmark",6.804,21.947
"India",6.823,4833.816
"India",6.835,4310.629
"India",6.835,6269.415
"India",6.835,6400.396
"India",6.835,6509.917
"India",6.835,7871.206
"India",6.835,8174.406
"India",6.835,8232.205
"India",6.835,8346.147
"India",6.835,8705.749
"India",6.835,NA
"India",6.891,NA
"India",6.909,NA
"India",6.944,NA
"Denmark",7.024,24.822
"India",7.04,4188.48
"India",7.04,4400.933
"India",7.106,4738.953
"India",7.106,7635.589
"India",7.129,NA
"India",7.325,NA
"Denmark",7.361,21.647
"India",7.44,NA
"Denmark",7.474,29.188
"India",7.489,4143.959
"India",7.489,6698.669
"India",7.489,6903.195
"India",7.489,7040.094
"India",7.489,8846.138
"India",7.489,9212.456
"India",7.489,9293.798
"India",7.489,9494.342
"India",7.489,10289.558
"India",7.489,NA
"India",7.63,NA
"India",7.727,8299.159
"India",7.818,NA
"India",7.831,NA
"Denmark",7.892,29.899
"India",7.968,12441.924
"India",8.117,NA
"Denmark",8.161,35.287
"India",8.19,NA
"India",8.246,8701.924
"Denmark",8.257,32.717
"India",8.312,NA
"India",8.327,4114.334
"India",8.327,7209.608
"India",8.327,7490.346
"India",8.327,7661.309
"India",8.327,9950.889
"India",8.327,10370.422
"India",8.327,10493.547
"India",8.327,10774.438
"India",8.327,11850.587
"India",8.327,NA
"India",8.548,NA
"India",8.555,NA
"India",8.769,10059.912
"India",8.769,10434.655
"India",8.851,11185.017
"Denmark",8.89,44.63
"India",8.916,NA
"India",9.069,9021.317
"India",9.158,NA
"India",9.328,13479.212
"India",9.381,4247.085
"India",9.381,7748.996
"India",9.381,8108.644
"India",9.381,8318.059
"India",9.381,11113.195
"India",9.381,11578.248
"India",9.381,11752.599
"India",9.381,12115.393
"India",9.381,13203.97
"India",9.381,NA
"Denmark",9.416,29.919
"India",9.48,NA
"India",9.578,16125.472
"Denmark",9.629,38.343
"Denmark",9.675,42.106
"India",9.901,NA
"Denmark",9.941,13.574
"Denmark",9.941,13.868
"Denmark",9.941,14.214
"Denmark",9.941,14.743
"Denmark",9.941,15.356
"Denmark",9.941,15.98
"Denmark",9.941,16.407
"Denmark",9.941,16.825
"Denmark",9.941,17.115
"Denmark",9.941,17.899
"Denmark",9.941,19.108
"Denmark",9.941,20.48
"Denmark",9.941,20.795
"Denmark",9.941,21.225
"Denmark",9.941,21.372
"Denmark",9.941,21.909
"Denmark",9.941,22.739
"Denmark",9.941,23.451
"Denmark",9.941,23.676
"Denmark",9.941,23.695
"Denmark",9.941,23.786
"Denmark",9.941,23.973
"Denmark",9.941,24.576
"Denmark",9.941,25.786
"Denmark",9.941,26.165
"Denmark",9.941,26.916
"Denmark",9.941,27.09
"Denmark",9.941,27.194
"Denmark",9.941,27.296
"Denmark",9.941,27.69
"Denmark",9.941,28.475
"Denmark",9.941,28.487
"Denmark",9.941,28.866
"Denmark",9.941,28.878
"Denmark",9.941,29.129
"Denmark",9.941,29.375
"Denmark",9.941,29.382
"Denmark",9.941,29.702
"Denmark",9.941,29.709
"Denmark",9.941,29.754
"Denmark",9.941,29.803
"Denmark",9.941,29.826
"Denmark",9.941,29.856
"Denmark",9.941,29.998
"Denmark",9.941,30.094
"Denmark",9.941,30.119
"Denmark",9.941,30.181
"Denmark",9.941,30.304
"Denmark",9.941,30.316
"Denmark",9.941,30.371
"Denmark",9.941,30.394
"Denmark",9.941,30.524
"Denmark",9.941,30.528
"Denmark",9.941,30.549
"Denmark",9.941,30.648
"Denmark",9.941,30.652
"Denmark",9.941,30.655
"Denmark",9.941,30.693
"Denmark",9.941,30.729
"Denmark",9.941,30.753
"Denmark",9.941,30.819
"Denmark",9.941,30.826
"Denmark",9.941,30.846
"Denmark",9.941,30.889
"Denmark",9.941,30.926
"Denmark",9.941,30.93
"Denmark",9.941,30.952
"Denmark",9.941,30.959
"Denmark",9.941,30.999
"Denmark",9.941,31.006
"Denmark",9.941,31.055
"Denmark",9.941,31.154
"Denmark",9.941,31.18
"Denmark",9.941,31.181
"Denmark",9.941,31.228
"Denmark",9.941,31.23
"Denmark",9.941,31.246
"Denmark",9.941,31.288
"Denmark",9.941,31.34
"Denmark",9.941,31.341
"Denmark",9.941,31.354
"Denmark",9.941,31.677
"Denmark",9.941,31.713
"Denmark",9.941,31.713
"Denmark",9.941,31.753
"Denmark",9.941,31.755
"Denmark",9.941,31.839
"Denmark",9.941,31.982
"Denmark",9.941,31.99
"Denmark",9.941,32.088
"Denmark",9.941,32.147
"Denmark",9.941,32.148
"Denmark",9.941,32.22
"Denmark",9.941,32.324
"Denmark",9.941,32.334
"Denmark",9.941,32.365
"Denmark",9.941,32.396
"Denmark",9.941,32.5
"Denmark",9.941,32.532
"Denmark",9.941,32.811
"Denmark",9.941,33.223
"Denmark",9.941,33.386
"Denmark",9.941,33.556
"Denmark",9.941,33.706
"Denmark",9.941,33.916
"Denmark",9.941,34.105
"Denmark",9.941,34.449
"Denmark",9.941,34.454
"Denmark",9.941,34.802
"Denmark",9.941,35.137
"Denmark",9.941,35.603
"Denmark",9.941,35.764
"Denmark",9.941,35.837
"Denmark",9.941,35.962
"Denmark",9.941,36.296
"Denmark",9.941,36.61
"Denmark",9.941,36.961
"Denmark",9.941,37.246
"Denmark",9.941,37.745
"Denmark",9.941,37.888
"Denmark",9.941,38.047
"Denmark",9.941,40.948
"Denmark",9.941,41.196
"Denmark",9.941,41.416
"Denmark",9.941,41.686
"Denmark",9.941,41.981
"Denmark",9.941,42.337
"Denmark",9.941,43.042
"Denmark",9.941,45.531
"Denmark",9.941,47.099
"Denmark",9.941,47.289
"Denmark",9.941,47.335
"Denmark",9.941,47.413
"Denmark",9.941,47.63
"Denmark",9.941,50.171
"Denmark",9.941,50.484
"Denmark",9.941,50.528
"Denmark",9.941,50.873
"Denmark",9.941,53.206
"Denmark",9.941,57.233
"Denmark",9.941,60.836
"Denmark",9.941,62.651
"Denmark",9.941,63.373
"Denmark",9.941,64.274
"Denmark",9.941,NA
"Denmark",9.941,NA
"Denmark",9.941,NA
"Denmark",9.941,NA
"Denmark",9.941,NA
"Denmark",9.941,NA
"Denmark",9.941,NA
"Denmark",9.941,NA
"Denmark",9.941,NA
"Denmark",9.941,NA
"Denmark",9.941,NA
"Denmark",9.941,NA
"Denmark",9.941,NA
"Denmark",9.941,NA
"Denmark",9.941,NA
"Denmark",9.941,NA
"Denmark",9.941,NA
"Denmark",9.941,NA
"Denmark",9.941,NA
"Denmark",9.941,NA
"Denmark",9.941,NA
"Denmark",9.941,NA
"Denmark",9.941,NA
"Denmark",9.941,NA
"Denmark",9.941,NA
"Denmark",9.941,NA
"Denmark",9.941,NA
"Denmark",9.941,NA
"Denmark",9.941,NA
"Denmark",9.941,NA
"Denmark",9.941,NA
"Denmark",9.941,NA
"Denmark",9.941,NA
"Denmark",9.941,NA
"Denmark",9.941,NA
"Denmark",9.941,NA
"Denmark",9.941,NA
"Denmark",9.941,NA
"Denmark",9.941,NA
"Denmark",9.941,NA
"Denmark",9.941,NA
"Denmark",9.941,NA
"Denmark",9.941,NA
"Denmark",9.941,NA
"Denmark",9.941,NA
"Denmark",9.941,NA
"Denmark",9.941,NA
"Denmark",9.941,NA
"Denmark",9.941,NA
"Denmark",9.941,NA
"Denmark",9.941,NA
"Denmark",9.941,NA
"Denmark",9.941,NA
"Denmark",9.941,NA
"Denmark",9.941,NA
"Denmark",9.941,NA
"Denmark",9.941,NA
"Denmark",9.941,NA
"Denmark",9.941,NA
"Denmark",9.941,NA
"Denmark",9.941,NA
"Denmark",9.941,NA
"Denmark",9.941,NA
"Denmark",9.941,NA
"Denmark",9.941,NA
"Denmark",9.941,NA
"Denmark",9.941,NA
"Denmark",9.941,NA
"Denmark",9.941,NA
"Denmark",9.941,NA
"Denmark",9.941,NA
"Denmark",9.941,NA
"Denmark",9.941,NA
"Denmark",9.941,NA
"Denmark",9.941,NA
"Denmark",9.941,NA
"Denmark",9.941,NA
"Denmark",9.941,NA
"Denmark",9.942,NA
"Denmark",9.942,NA
"Denmark",10.037,32.844
"India",10.106,16183.497
"India",10.169,NA
"India",10.226,9310.356
"India",10.611,NA
"India",10.687,4514.317
"India",10.687,8345.618
"India",10.687,8794.782
"India",10.687,9048.672
"India",10.687,12399.751
"India",10.687,12910.794
"India",10.687,13143.412
"India",10.687,13605.248
"India",10.687,14535.328
"India",10.687,NA
"Denmark",10.783,32.786
"India",10.888,17891.741
"India",10.901,NA
"India",10.992,NA
"India",11.033,18961.056
"India",11.352,2467.731
"India",11.352,6586.415
"India",11.352,7272.846
"India",11.352,7583.762
"India",11.352,13114.72
"India",11.352,13850.127
"India",11.352,14267.763
"India",11.352,15290.462
"India",11.352,16399.574
"India",11.352,NA
"India",11.502,10136.706
"Denmark",11.57,38.868
"India",11.588,NA
"India",11.69,19985.91
"Denmark",11.749,33.375
"India",12.057,NA
"India",12.259,20913.857
"India",12.282,4746.08
"India",12.282,9086.751
"India",12.282,9653.346
"India",12.282,9960.931
"India",12.282,14070.754
"India",12.282,14646.663
"India",12.282,14948.853
"India",12.282,15560.307
"India",12.282,16548.71
"India",12.282,NA
"India",12.426,21357.998
"India",12.534,2981.98
"India",12.534,7642.299
"India",12.534,8363.541
"India",12.534,8691.86
"India",12.534,14588.74
"India",12.534,15404.459
"India",12.534,15820.014
"India",12.534,16855.133
"India",12.534,18123.937
"India",12.534,NA
"India",12.763,11297.939
"India",12.803,NA
"India",12.949,NA
"Denmark",13.07,45.634
"India",13.084,NA
"India",13.26,NA
"India",13.3,NA
"India",13.357,NA
"India",13.392,NA
"Denmark",13.42,36.377
"India",13.523,NA
"India",13.593,NA
"India",13.625,NA
"India",13.672,NA
"India",13.685,3551.866
"India",13.685,8797.202
"India",13.685,9547.113
"India",13.685,9888.698
"India",13.685,16115.519
"India",13.685,17018.176
"India",13.685,17419.941
"India",13.685,18466.419
"India",13.685,20062.666
"India",13.685,NA
"India",13.8,NA
"India",13.829,NA
"India",13.878,NA
"India",14.012,NA
"India",14.069,11787.609
"India",14.127,NA
"India",14.144,NA
"India",14.162,NA
"India",14.197,4948.228
"India",14.197,10081.482
"India",14.197,10812.319
"India",14.197,11189.286
"India",14.197,16333.06
"India",14.197,17011.52
"India",14.197,17401.401
"India",14.197,18245.71
"India",14.197,19671.071
"India",14.197,NA
"India",14.241,NA
"India",14.243,NA
"India",14.391,9833.018
"India",14.391,10380.227
"India",14.391,17134.411
"India",14.449,NA
"India",14.45,NA
"India",14.456,NA
"India",14.524,11284.4
"India",14.601,NA
"India",14.647,NA
"India",14.736,NA
"India",14.742,NA
"India",14.818,4213.442
"India",14.818,9993.247
"India",14.818,10754.904
"India",14.818,11103.442
"India",14.818,17581.023
"India",14.818,18563.715
"India",14.818,18938.673
"India",14.818,19978.046
"India",14.818,21860.259
"India",14.818,NA
"India",14.845,NA
"Denmark",14.856,53.741
"India",14.88,NA
"India",14.882,17965.625
"India",14.964,NA
"India",14.984,NA
"India",15,17010.614
"India",15.004,NA
"India",15.027,NA
"India",15.228,NA
"India",15.265,NA
"India",15.292,18496.364
"India",15.301,NA
"India",15.511,NA
"India",15.547,NA
"India",15.586,18719.156
"India",15.6,NA
"India",15.68,NA
"Denmark",15.84,48.427
"India",15.948,5070.71
"India",15.948,11256.806
"India",15.948,12007.248
"India",15.948,12357.882
"India",15.948,18866.37
"India",15.948,19906.168
"India",15.948,20246.189
"India",15.948,21235.556
"India",15.948,23218.991
"India",15.948,NA
"India",15.969,NA
"India",15.983,NA
"India",16.017,NA
"Denmark",16.029,51.553
"India",16.109,NA
"India",16.272,NA
"India",16.32,19515.794
"India",16.449,5109.463
"India",16.449,11237.982
"India",16.449,12174.376
"India",16.449,12638.136
"India",16.449,19130.441
"India",16.449,19936.992
"India",16.449,20445.445
"India",16.449,21597.226
"India",16.449,23614.18
"India",16.449,NA
"India",16.461,NA
"India",16.478,NA
"Denmark",16.574,54.347
"India",16.679,NA
"India",16.708,NA
"Denmark",16.75,54.607
"Denmark",16.755,54.191
"India",16.815,NA
"Denmark",16.972,62.369
"India",17.09,6117.748
"India",17.09,12572.453
"India",17.09,13285.824
"India",17.09,13634.676
"India",17.09,20020.485
"India",17.09,21090.507
"India",17.09,21397.506
"India",17.09,22290.797
"India",17.09,24091.469
"India",17.09,NA
"Denmark",17.186,50.948
"India",17.192,NA
"India",17.206,NA
"India",17.256,NA
"Denmark",17.432,67.666
"India",17.504,19492.691
"India",17.563,NA
"India",17.706,NA
"India",17.784,NA
"India",18.112,20952.201
"Denmark",18.252,31.009
"Denmark",18.252,32.152
"Denmark",18.252,33.172
"Denmark",18.252,34.039
"Denmark",18.252,34.739
"Denmark",18.252,35.445
"Denmark",18.252,36.809
"Denmark",18.252,39.096
"Denmark",18.252,41.533
"Denmark",18.252,42.231
"Denmark",18.252,43.056
"Denmark",18.252,43.359
"Denmark",18.252,43.403
"Denmark",18.252,43.522
"Denmark",18.252,43.646
"Denmark",18.252,45.026
"Denmark",18.252,45.029
"Denmark",18.252,45.544
"Denmark",18.252,46.517
"Denmark",18.252,47.162
"Denmark",18.252,47.422
"Denmark",18.252,48.07
"Denmark",18.252,48.139
"Denmark",18.252,49.743
"Denmark",18.252,49.918
"Denmark",18.252,50.317
"Denmark",18.252,50.904
"Denmark",18.252,53.64
"Denmark",18.252,53.733
"Denmark",18.252,53.883
"Denmark",18.252,53.887
"Denmark",18.252,54.157
"Denmark",18.252,54.162
"Denmark",18.252,55.441
"Denmark",18.252,56.59
"Denmark",18.252,57.39
"Denmark",18.252,57.499
"Denmark",18.252,57.994
"Denmark",18.252,58.435
"Denmark",18.252,58.546
"Denmark",18.252,59.035
"Denmark",18.252,59.126
"Denmark",18.252,59.244
"Denmark",18.252,59.727
"Denmark",18.252,59.818
"Denmark",18.252,59.963
"Denmark",18.252,60.003
"Denmark",18.252,60.063
"Denmark",18.252,60.083
"Denmark",18.252,60.087
"Denmark",18.252,60.175
"Denmark",18.252,60.18
"Denmark",18.252,60.349
"Denmark",18.252,60.552
"Denmark",18.252,60.652
"Denmark",18.252,61.065
"Denmark",18.252,61.182
"Denmark",18.252,61.213
"Denmark",18.252,61.363
"Denmark",18.252,61.366
"Denmark",18.252,61.437
"Denmark",18.252,61.446
"Denmark",18.252,61.454
"Denmark",18.252,61.464
"Denmark",18.252,61.555
"Denmark",18.252,61.611
"Denmark",18.252,61.803
"Denmark",18.252,61.808
"Denmark",18.252,61.826
"Denmark",18.252,61.88
"Denmark",18.252,61.932
"Denmark",18.252,62.004
"Denmark",18.252,62.023
"Denmark",18.252,62.025
"Denmark",18.252,62.124
"Denmark",18.252,62.229
"Denmark",18.252,62.283
"Denmark",18.252,62.337
"Denmark",18.252,62.362
"Denmark",18.252,62.37
"Denmark",18.252,62.387
"Denmark",18.252,62.391
"Denmark",18.252,62.427
"Denmark",18.252,62.459
"Denmark",18.252,62.462
"Denmark",18.252,62.663
"Denmark",18.252,62.677
"Denmark",18.252,62.704
"Denmark",18.252,62.852
"Denmark",18.252,62.998
"Denmark",18.252,63.192
"Denmark",18.252,63.247
"Denmark",18.252,63.269
"Denmark",18.252,63.555
"Denmark",18.252,63.612
"Denmark",18.252,63.75
"Denmark",18.252,63.811
"Denmark",18.252,63.836
"Denmark",18.252,64.199
"Denmark",18.252,64.215
"Denmark",18.252,64.258
"Denmark",18.252,64.458
"Denmark",18.252,64.607
"Denmark",18.252,64.804
"Denmark",18.252,64.84
"Denmark",18.252,65.108
"Denmark",18.252,65.112
"Denmark",18.252,65.524
"Denmark",18.252,65.537
"Denmark",18.252,65.561
"Denmark",18.252,66.376
"Denmark",18.252,67.308
"Denmark",18.252,68.112
"Denmark",18.252,69.238
"Denmark",18.252,69.944
"Denmark",18.252,71.377
"Denmark",18.252,71.971
"Denmark",18.252,72.115
"Denmark",18.252,73.12
"Denmark",18.252,74.862
"Denmark",18.252,75.305
"Denmark",18.252,75.974
"Denmark",18.252,76.029
"Denmark",18.252,76.957
"Denmark",18.252,79.896
"Denmark",18.252,80.951
"Denmark",18.252,81.237
"Denmark",18.252,81.709
"Denmark",18.252,82.576
"Denmark",18.252,82.922
"Denmark",18.252,83.077
"Denmark",18.252,83.75
"Denmark",18.252,83.959
"Denmark",18.252,85.106
"Denmark",18.252,89.677
"Denmark",18.252,92.562
"Denmark",18.252,93.9
"Denmark",18.252,98.873
"Denmark",18.252,99.598
"Denmark",18.252,99.644
"Denmark",18.252,100.441
"Denmark",18.252,104.408
"Denmark",18.252,112.039
"Denmark",18.252,118.624
"Denmark",18.252,NA
"Denmark",18.252,NA
"Denmark",18.252,NA
"Denmark",18.252,NA
"Denmark",18.252,NA
"Denmark",18.252,NA
"Denmark",18.252,NA
"Denmark",18.252,NA
"Denmark",18.252,NA
"Denmark",18.252,NA
"Denmark",18.252,NA
"Denmark",18.252,NA
"Denmark",18.252,NA
"Denmark",18.252,NA
"Denmark",18.252,NA
"Denmark",18.252,NA
"Denmark",18.252,NA
"Denmark",18.252,NA
"Denmark",18.252,NA
"Denmark",18.252,NA
"Denmark",18.252,NA
"Denmark",18.252,NA
"Denmark",18.252,NA
"Denmark",18.252,NA
"Denmark",18.252,NA
"Denmark",18.252,NA
"Denmark",18.252,NA
"Denmark",18.252,NA
"Denmark",18.252,NA
"Denmark",18.252,NA
"Denmark",18.252,NA
"Denmark",18.252,NA
"Denmark",18.252,NA
"Denmark",18.252,NA
"Denmark",18.252,NA
"Denmark",18.252,NA
"Denmark",18.252,NA
"Denmark",18.252,NA
"Denmark",18.252,NA
"Denmark",18.252,NA
"Denmark",18.252,NA
"Denmark",18.252,NA
"Denmark",18.252,NA
"Denmark",18.252,NA
"Denmark",18.252,NA
"Denmark",18.252,NA
"Denmark",18.252,NA
"Denmark",18.252,NA
"Denmark",18.252,NA
"Denmark",18.252,NA
"Denmark",18.252,NA
"Denmark",18.252,NA
"Denmark",18.252,NA
"Denmark",18.252,NA
"Denmark",18.252,NA
"Denmark",18.252,NA
"Denmark",18.252,NA
"Denmark",18.252,NA
"Denmark",18.252,NA
"Denmark",18.252,NA
"Denmark",18.252,NA
"Denmark",18.252,NA
"Denmark",18.252,NA
"Denmark",18.252,NA
"Denmark",18.253,NA
"Denmark",18.253,NA
"Denmark",18.253,NA
"Denmark",18.253,NA
"Denmark",18.253,NA
"Denmark",18.253,NA
"Denmark",18.253,NA
"Denmark",18.253,NA
"Denmark",18.253,NA
"Denmark",18.253,NA
"Denmark",18.253,NA
"Denmark",18.253,NA
"Denmark",18.253,NA
"Denmark",18.253,NA
"Denmark",18.253,NA
"Denmark",18.253,NA
"India",18.262,7315.744
"India",18.262,14091.363
"India",18.262,14760.811
"India",18.262,15108.563
"India",18.262,21325.84
"India",18.262,22429.684
"India",18.262,22707.332
"India",18.262,23497.517
"India",18.262,25191.741
"India",18.262,NA
"India",18.27,NA
"India",18.411,NA
"Denmark",18.491,74.443
"India",18.529,NA
