"Location","PASFR","Births"
"Denmark",0.253,NA
"Denmark",0.253,NA
"Denmark",0.253,NA
"Denmark",0.253,NA
"Denmark",0.253,NA
"Denmark",0.253,NA
"Denmark",0.253,NA
"Denmark",0.253,NA
"Denmark",0.253,NA
"Denmark",0.253,NA
"Denmark",0.253,NA
"Denmark",0.253,NA
"Denmark",0.253,NA
"Denmark",0.253,NA
"Denmark",0.253,NA
"Denmark",0.253,NA
"Denmark",0.253,NA
"Denmark",0.253,NA
"Denmark",0.253,NA
"Denmark",0.253,NA
"Denmark",0.253,NA
"Denmark",0.253,NA
"Denmark",0.253,NA
"Denmark",0.253,NA
"Denmark",0.253,NA
"Denmark",0.253,NA
"Denmark",0.253,NA
"Denmark",0.253,NA
"Denmark",0.253,NA
"Denmark",0.253,NA
"Denmark",0.253,NA
"Denmark",0.253,NA
"Denmark",0.253,NA
"Denmark",0.253,NA
"Denmark",0.253,NA
"Denmark",0.253,NA
"Denmark",0.253,NA
"Denmark",0.253,NA
"Denmark",0.253,NA
"Denmark",0.253,NA
"Denmark",0.253,NA
"Denmark",0.253,NA
"Denmark",0.253,NA
"Denmark",0.253,NA
"Denmark",0.253,NA
"Denmark",0.253,NA
"Denmark",0.253,NA
"Denmark",0.253,NA
"Denmark",0.253,NA
"Denmark",0.253,NA
"Denmark",0.253,NA
"Denmark",0.253,NA
"Denmark",0.253,NA
"Denmark",0.253,NA
"Denmark",0.253,NA
"Denmark",0.253,NA
"Denmark",0.253,NA
"Denmark",0.253,NA
"Denmark",0.253,NA
"Denmark",0.253,NA
"Denmark",0.253,NA
"Denmark",0.253,NA
"Denmark",0.253,NA
"Denmark",0.253,NA
"Denmark",0.253,NA
"Denmark",0.253,NA
"Denmark",0.253,NA
"Denmark",0.253,NA
"Denmark",0.253,NA
"Denmark",0.253,NA
"Denmark",0.253,NA
"Denmark",0.253,NA
"Denmark",0.253,NA
"Denmark",0.253,NA
"Denmark",0.253,NA
"Denmark",0.253,NA
"Denmark",0.253,NA
"Denmark",0.253,NA
"Denmark",0.253,NA
"India",0.254,NA
"India",0.255,NA
"India",0.259,NA
"India",0.26,NA
"India",0.26,NA
"India",0.263,140.276
"India",0.263,224.827
"India",0.263,235.136
"India",0.263,240.314
"India",0.263,304.961
"India",0.263,313.548
"India",0.263,317.285
"India",0.263,327.948
"India",0.263,351.703
"India",0.263,NA
"India",0.265,NA
"India",0.269,NA
"India",0.276,166.709
"India",0.276,240.955
"India",0.276,249.399
"India",0.276,254.2
"India",0.276,311.41
"India",0.276,320.095
"India",0.276,323.298
"India",0.276,331.354
"India",0.276,340.666
"India",0.276,NA
"India",0.278,NA
"India",0.28,NA
"India",0.28,NA
"India",0.283,NA
"India",0.283,NA
"India",0.289,NA
"India",0.292,191.336
"India",0.292,261.244
"India",0.292,268.293
"India",0.292,272.819
"India",0.292,326.8
"India",0.292,335.665
"India",0.292,338.494
"India",0.292,344.722
"India",0.292,345.249
"India",0.292,NA
"India",0.295,NA
"India",0.295,NA
"India",0.309,139.369
"India",0.309,258.083
"India",0.309,267.422
"India",0.309,272.002
"India",0.309,368.559
"India",0.309,387.825
"India",0.309,390.39
"India",0.309,401.875
"India",0.309,438.229
"India",0.309,NA
"India",0.309,NA
"India",0.311,215.205
"India",0.311,293.911
"India",0.311,300.573
"India",0.311,304.843
"India",0.311,363.159
"India",0.311,373.898
"India",0.311,375.966
"India",0.311,382.373
"India",0.311,385.942
"India",0.311,NA
"India",0.311,NA
"India",0.313,127.905
"India",0.313,246.022
"India",0.313,256.741
"India",0.313,261.763
"India",0.313,368.14
"India",0.313,387.857
"India",0.313,391.239
"India",0.313,404.807
"India",0.313,436.911
"India",0.313,NA
"India",0.313,NA
"India",0.319,NA
"India",0.319,NA
"India",0.326,160.49
"India",0.326,291.66
"India",0.326,300.388
"India",0.326,304.791
"India",0.326,397.589
"India",0.326,418.174
"India",0.326,419.565
"India",0.326,430.698
"India",0.326,483.718
"India",0.326,NA
"India",0.332,NA
"India",0.332,NA
"India",0.334,243.305
"India",0.334,331.53
"India",0.334,337.798
"India",0.334,341.748
"India",0.334,402.585
"India",0.334,415.384
"India",0.334,416.324
"India",0.334,423.238
"India",0.334,432.291
"India",0.334,NA
"India",0.338,122.982
"India",0.338,252.604
"India",0.338,265.877
"India",0.338,271.757
"India",0.338,398.646
"India",0.338,420.836
"India",0.338,425.548
"India",0.338,443.042
"India",0.338,480.943
"India",0.338,NA
"India",0.344,NA
"India",0.351,NA
"India",0.352,NA
"India",0.358,NA
"India",0.362,266.408
"India",0.362,361.82
"India",0.362,367.287
"India",0.362,370.635
"India",0.362,430.824
"India",0.362,445.187
"India",0.362,445.275
"India",0.362,452.003
"India",0.362,468.165
"India",0.362,NA
"India",0.363,NA
"India",0.367,NA
"India",0.368,201.013
"India",0.368,349.16
"India",0.368,357.405
"India",0.368,361.725
"India",0.368,453.729
"India",0.368,476.189
"India",0.368,476.476
"India",0.368,487.453
"India",0.368,557.897
"India",0.368,NA
"India",0.368,NA
"India",0.37,NA
"India",0.385,NA
"India",0.389,125.27
"India",0.389,278.161
"India",0.389,295.466
"India",0.389,302.831
"India",0.389,463.129
"India",0.389,490.005
"India",0.389,496.792
"India",0.389,520.582
"India",0.389,570.214
"India",0.389,NA
"India",0.396,292.007
"India",0.396,394.659
"India",0.396,399.176
"India",0.396,401.59
"India",0.396,459.255
"India",0.396,472.959
"India",0.396,474.661
"India",0.396,480.094
"India",0.396,506.345
"India",0.396,NA
"India",0.411,NA
"India",0.418,NA
"India",0.436,323.367
"India",0.436,434.03
"India",0.436,437.528
"India",0.436,439.055
"India",0.436,492.251
"India",0.436,505.401
"India",0.436,507.277
"India",0.436,511.365
"India",0.436,551.688
"India",0.436,NA
"India",0.443,276.001
"India",0.443,440.145
"India",0.443,447.383
"India",0.443,451.574
"India",0.443,541.285
"India",0.443,565.082
"India",0.443,566.227
"India",0.443,575.577
"India",0.443,656.398
"India",0.443,NA
"India",0.454,NA
"India",0.46,NA
"India",0.463,NA
"India",0.464,NA
"India",0.475,NA
"India",0.477,137.475
"India",0.477,325.979
"India",0.477,349.29
"India",0.477,359.059
"India",0.477,569.275
"India",0.477,602.972
"India",0.477,612.911
"India",0.477,646.132
"India",0.477,708.385
"India",0.477,NA
"India",0.483,NA
"India",0.485,358.15
"India",0.485,476.62
"India",0.485,479.029
"India",0.485,479.96
"India",0.485,525.137
"India",0.485,537.179
"India",0.485,538.864
"India",0.485,541.587
"India",0.485,599.908
"India",0.485,NA
"India",0.519,NA
"India",0.531,NA
"India",0.539,NA
"India",0.539,NA
"India",0.543,408.826
"India",0.543,506.34
"India",0.543,507.618
"India",0.543,508.135
"India",0.543,541.763
"India",0.543,551.631
"India",0.543,552.433
"India",0.543,553.827
"India",0.543,606.41
"India",0.543,NA
"India",0.57,414.788
"India",0.57,591.432
"India",0.57,596.251
"India",0.57,600.369
"India",0.57,682.78
"India",0.57,707.062
"India",0.57,708.38
"India",0.57,714.226
"India",0.57,795.971
"India",0.57,NA
"India",0.606,NA
"India",0.608,NA
"India",0.61,NA
"India",0.61,NA
"India",0.611,470.89
"India",0.611,532.717
"India",0.611,533.09
"India",0.611,533.266
"India",0.611,552.056
"India",0.611,557.764
"India",0.611,557.988
"India",0.611,558.378
"India",0.611,595.495
"India",0.611,NA
"India",0.612,NA
"India",0.622,162.766
"India",0.622,403.579
"India",0.622,435.984
"India",0.622,449.561
"India",0.622,736.755
"India",0.622,780.616
"India",0.622,795.974
"India",0.622,843.283
"India",0.622,914.894
"India",0.622,NA
"India",0.647,NA
"India",0.672,531.459
"India",0.69,566.768
"India",0.783,639.663
"India",0.783,853.286
"India",0.783,855.55
"India",0.783,859.87
"India",0.783,937.713
"India",0.783,964.559
"India",0.783,964.656
"India",0.783,967.215
"India",0.783,1071.436
"India",0.783,NA
"Denmark",0.818,1.97
"Denmark",0.82,1.924
"India",0.834,NA
"India",0.844,NA
"India",0.855,709.424
"India",0.855,NA
"India",0.86,206.586
"India",0.86,529.698
"India",0.86,576.937
"India",0.86,596.777
"India",0.86,1006.532
"India",0.86,1066.591
"India",0.86,1091.038
"India",0.86,1161.671
"India",0.86,1248.093
"India",0.86,NA
"India",0.885,NA
"India",0.945,NA
"India",0.995,825.924
"India",0.998,774.701
"Denmark",1.046,2.897
"Denmark",1.066,3.129
"India",1.077,762.815
"India",1.078,NA
"India",1.097,NA
"India",1.148,1091.996
"India",1.148,1354.938
"India",1.148,1356.365
"India",1.148,1360.772
"India",1.148,1447.844
"India",1.148,1477.931
"India",1.148,1479.276
"India",1.148,1479.488
"India",1.148,1620.446
"India",1.148,NA
"Denmark",1.17,3.512
"India",1.198,NA
"India",1.203,NA
"India",1.212,NA
"India",1.222,NA
"India",1.226,NA
"Denmark",1.229,1.516
"Denmark",1.229,1.554
"Denmark",1.229,1.587
"Denmark",1.229,1.634
"Denmark",1.229,1.698
"Denmark",1.229,1.778
"Denmark",1.229,1.847
"Denmark",1.229,1.908
"Denmark",1.229,1.95
"Denmark",1.229,1.991
"Denmark",1.229,2.088
"Denmark",1.229,2.236
"Denmark",1.229,2.4
"Denmark",1.229,2.44
"Denmark",1.229,2.577
"Denmark",1.229,2.625
"Denmark",1.229,2.705
"Denmark",1.229,2.71
"Denmark",1.229,2.813
"Denmark",1.229,2.899
"Denmark",1.229,2.923
"Denmark",1.229,2.935
"Denmark",1.229,2.945
"Denmark",1.229,3.032
"Denmark",1.229,3.128
"Denmark",1.229,3.188
"Denmark",1.229,3.228
"Denmark",1.229,3.349
"Denmark",1.229,3.354
"Denmark",1.229,3.354
"Denmark",1.229,3.355
"Denmark",1.229,3.37
"Denmark",1.229,3.391
"Denmark",1.229,3.392
"Denmark",1.229,3.421
"Denmark",1.229,3.465
"Denmark",1.229,3.466
"Denmark",1.229,3.497
"Denmark",1.229,3.498
"Denmark",1.229,3.512
"Denmark",1.229,3.518
"Denmark",1.229,3.52
"Denmark",1.229,3.523
"Denmark",1.229,3.543
"Denmark",1.229,3.554
"Denmark",1.229,3.556
"Denmark",1.229,3.564
"Denmark",1.229,3.576
"Denmark",1.229,3.578
"Denmark",1.229,3.58
"Denmark",1.229,3.584
"Denmark",1.229,3.589
"Denmark",1.229,3.606
"Denmark",1.229,3.608
"Denmark",1.229,3.611
"Denmark",1.229,3.612
"Denmark",1.229,3.623
"Denmark",1.229,3.623
"Denmark",1.229,3.627
"Denmark",1.229,3.631
"Denmark",1.229,3.636
"Denmark",1.229,3.641
"Denmark",1.229,3.641
"Denmark",1.229,3.644
"Denmark",1.229,3.644
"Denmark",1.229,3.648
"Denmark",1.229,3.653
"Denmark",1.229,3.66
"Denmark",1.229,3.661
"Denmark",1.229,3.665
"Denmark",1.229,3.665
"Denmark",1.229,3.671
"Denmark",1.229,3.673
"Denmark",1.229,3.683
"Denmark",1.229,3.685
"Denmark",1.229,3.695
"Denmark",1.229,3.698
"Denmark",1.229,3.701
